D,Proposed,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan11,Yuan15,ProposedLTT,ProposedLTB,ProposedLTT2,ProposedLTTv2
0.0,42.666015625,42.666015625,21.0830078125,149.0830078125,21.3330078125,85.3330078125,682.666015625,21.3330078125,-21.333984375,10.416015625,74.416015625,169.166015625,10.416015625
1.0,42.666015625,42.666015625,21.0830078125,149.0830078125,21.3330078125,85.3330078125,682.666015625,21.3330078125,-21.333984375,10.416015625,74.416015625,169.166015625,10.416015625
2.0,43.1640625,42.9140625,21.5810546875,149.5810546875,21.5810546875,86.3291015625,686.658203125,21.8291015625,-20.8359375,10.9140625,74.9140625,169.6640625,10.66455078125
3.0,43.1640625,42.9140625,21.5810546875,149.5810546875,21.5810546875,86.3291015625,686.658203125,21.8291015625,-20.8359375,10.9140625,74.9140625,169.6640625,10.66455078125
4.0,43.66015625,43.41015625,22.0771484375,150.0771484375,21.8271484375,87.3212890625,690.642578125,22.3212890625,-20.33984375,10.91015625,74.91015625,170.16015625,10.66064453125
5.0,43.66015625,43.41015625,22.0771484375,150.0771484375,21.8271484375,87.3212890625,690.642578125,22.3212890625,-20.33984375,10.91015625,74.91015625,170.16015625,10.66064453125
6.0,44.154296875,44.154296875,22.5712890625,150.5712890625,22.0712890625,88.3095703125,694.619140625,22.8095703125,-19.845703125,11.404296875,75.404296875,170.654296875,10.90478515625
7.0,44.154296875,44.154296875,22.5712890625,150.5712890625,22.0712890625,88.3095703125,694.619140625,22.8095703125,-19.845703125,11.404296875,75.404296875,170.654296875,10.90478515625
8.0,44.646484375,44.646484375,23.0634765625,151.0634765625,22.3134765625,89.2939453125,698.587890625,23.2939453125,-19.353515625,11.396484375,75.396484375,171.146484375,10.64697265625
9.0,44.646484375,44.646484375,23.0634765625,151.0634765625,22.3134765625,89.2939453125,698.587890625,23.2939453125,-19.353515625,11.396484375,75.396484375,171.146484375,10.64697265625
10.0,45.13671875,44.88671875,23.5537109375,151.5537109375,22.5537109375,90.2744140625,702.548828125,23.7744140625,-18.86328125,11.88671875,75.88671875,171.63671875,10.88720703125
11.0,45.13671875,44.88671875,23.5537109375,151.5537109375,22.5537109375,90.2744140625,702.548828125,23.7744140625,-18.86328125,11.88671875,75.88671875,171.63671875,10.88720703125
12.0,45.625,45.375,24.0419921875,152.0419921875,22.7919921875,91.2509765625,706.501953125,24.2509765625,-18.375,11.875,75.875,172.125,11.12548828125
