freq,db20
 1.641E+06 ,-1.033E+02 
 1.650E+06 ,-9.670E+01 
 1.660E+06 ,-1.063E+02 
 1.670E+06 ,-9.759E+01 
 1.680E+06 ,-1.004E+02 
 1.689E+06 ,-1.025E+02 
 1.699E+06 ,-1.099E+02 
 1.709E+06 ,-1.021E+02 
 1.719E+06 ,-1.020E+02 
 1.729E+06 ,-9.883E+01 
 1.738E+06 ,-1.041E+02 
 1.748E+06 ,-1.035E+02 
 1.758E+06 ,-1.068E+02 
 1.768E+06 ,-1.012E+02 
 1.777E+06 ,-1.180E+02 
 1.787E+06 ,-1.001E+02 
 1.797E+06 ,-1.055E+02 
 1.807E+06 ,-1.072E+02 
 1.816E+06 ,-1.038E+02 
 1.826E+06 ,-1.003E+02 
 1.836E+06 ,-1.103E+02 
 1.846E+06 ,-1.089E+02 
 1.855E+06 ,-1.113E+02 
 1.865E+06 ,-1.009E+02 
 1.875E+06 ,-1.079E+02 
 1.885E+06 ,-1.000E+02 
 1.895E+06 ,-1.034E+02 
 1.904E+06 ,-1.014E+02 
 1.914E+06 ,-1.118E+02 
 1.924E+06 ,-1.094E+02 
 1.934E+06 ,-1.085E+02 
 1.943E+06 ,-1.037E+02 
 1.953E+06 ,-1.036E+02 
 1.963E+06 ,-1.014E+02 
 1.973E+06 ,-1.090E+02 
 1.982E+06 ,-1.038E+02 
 1.992E+06 ,-1.068E+02 
 2.002E+06 ,-1.022E+02 
 2.012E+06 ,-1.031E+02 
 2.021E+06 ,-1.028E+02 
 2.031E+06 ,-1.051E+02 
 2.041E+06 ,-1.003E+02 
 2.051E+06 ,-1.034E+02 
 2.061E+06 ,-1.063E+02 
 2.070E+06 ,-1.013E+02 
 2.080E+06 ,-9.634E+01 
 2.090E+06 ,-1.037E+02 
 2.100E+06 ,-9.856E+01 
 2.109E+06 ,-9.875E+01 
 2.119E+06 ,-9.814E+01 
 2.129E+06 ,-1.052E+02 
 2.139E+06 ,-9.653E+01 
 2.148E+06 ,-1.174E+02 
 2.158E+06 ,-9.537E+01 
 2.168E+06 ,-9.864E+01 
 2.178E+06 ,-1.030E+02 
 2.188E+06 ,-1.081E+02 
 2.197E+06 ,-1.169E+02 
 2.207E+06 ,-1.061E+02 
 2.217E+06 ,-9.983E+01 
 2.227E+06 ,-1.062E+02 
 2.236E+06 ,-9.747E+01 
 2.246E+06 ,-1.011E+02 
 2.256E+06 ,-1.075E+02 
 2.266E+06 ,-1.104E+02 
 2.275E+06 ,-1.148E+02 
 2.285E+06 ,-1.196E+02 
 2.295E+06 ,-1.194E+02 
 2.305E+06 ,-1.019E+02 
 2.314E+06 ,-9.650E+01 
 2.324E+06 ,-9.878E+01 
 2.334E+06 ,-1.000E+02 
 2.344E+06 ,-9.921E+01 
 2.354E+06 ,-9.845E+01 
 2.363E+06 ,-1.125E+02 
 2.373E+06 ,-1.023E+02 
 2.383E+06 ,-1.016E+02 
 2.393E+06 ,-9.984E+01 
 2.402E+06 ,-1.117E+02 
 2.412E+06 ,-9.680E+01 
 2.422E+06 ,-1.008E+02 
 2.432E+06 ,-1.051E+02 
 2.441E+06 ,-1.148E+02 
 2.451E+06 ,-1.089E+02 
 2.461E+06 ,-1.094E+02 
 2.471E+06 ,-1.082E+02 
 2.480E+06 ,-1.104E+02 
 2.490E+06 ,-1.069E+02 
 2.500E+06 ,-1.077E+02 
 2.510E+06 ,-1.061E+02 
 2.520E+06 ,-1.113E+02 
 2.529E+06 ,-1.006E+02 
 2.539E+06 ,-1.087E+02 
 2.549E+06 ,-1.132E+02 
 2.559E+06 ,-1.183E+02 
 2.568E+06 ,-1.085E+02 
 2.578E+06 ,-1.168E+02 
 2.588E+06 ,-1.101E+02 
 2.598E+06 ,-1.106E+02 
 2.607E+06 ,-1.012E+02 
 2.617E+06 ,-1.041E+02 
 2.627E+06 ,-1.031E+02 
 2.637E+06 ,-1.143E+02 
 2.646E+06 ,-1.086E+02 
 2.656E+06 ,-1.110E+02 
 2.666E+06 ,-1.131E+02 
 2.676E+06 ,-1.078E+02 
 2.686E+06 ,-9.986E+01 
 2.695E+06 ,-1.019E+02 
 2.705E+06 ,-1.039E+02 
 2.715E+06 ,-1.029E+02 
 2.725E+06 ,-9.867E+01 
 2.734E+06 ,-9.883E+01 
 2.744E+06 ,-9.679E+01 
 2.754E+06 ,-1.034E+02 
 2.764E+06 ,-1.148E+02 
 2.773E+06 ,-1.045E+02 
 2.783E+06 ,-9.979E+01 
 2.793E+06 ,-1.114E+02 
 2.803E+06 ,-1.055E+02 
 2.812E+06 ,-1.146E+02 
 2.822E+06 ,-1.010E+02 
 2.832E+06 ,-1.067E+02 
 2.842E+06 ,-1.023E+02 
 2.852E+06 ,-1.069E+02 
 2.861E+06 ,-1.075E+02 
 2.871E+06 ,-1.007E+02 
 2.881E+06 ,-9.495E+01 
 2.891E+06 ,-1.010E+02 
 2.900E+06 ,-9.737E+01 
 2.910E+06 ,-1.026E+02 
 2.920E+06 ,-1.069E+02 
 2.930E+06 ,-1.056E+02 
 2.939E+06 ,-1.043E+02 
 2.949E+06 ,-1.130E+02 
 2.959E+06 ,-1.067E+02 
 2.969E+06 ,-1.069E+02 
 2.979E+06 ,-1.067E+02 
 2.988E+06 ,-1.033E+02 
 2.998E+06 ,-9.579E+01 
 3.008E+06 ,-9.782E+01 
 3.018E+06 ,-1.005E+02 
 3.027E+06 ,-9.849E+01 
 3.037E+06 ,-9.650E+01 
 3.047E+06 ,-1.017E+02 
 3.057E+06 ,-1.027E+02 
 3.066E+06 ,-1.111E+02 
 3.076E+06 ,-1.041E+02 
 3.086E+06 ,-1.042E+02 
 3.096E+06 ,-9.836E+01 
 3.105E+06 ,-1.113E+02 
 3.115E+06 ,-1.008E+02 
 3.125E+06 ,-1.138E+02 
 3.135E+06 ,-1.047E+02 
 3.145E+06 ,-1.064E+02 
 3.154E+06 ,-9.773E+01 
 3.164E+06 ,-1.018E+02 
 3.174E+06 ,-1.058E+02 
 3.184E+06 ,-1.116E+02 
 3.193E+06 ,-1.009E+02 
 3.203E+06 ,-9.978E+01 
 3.213E+06 ,-9.584E+01 
 3.223E+06 ,-1.102E+02 
 3.232E+06 ,-9.782E+01 
 3.242E+06 ,-1.033E+02 
 3.252E+06 ,-1.201E+02 
 3.262E+06 ,-1.105E+02 
 3.271E+06 ,-1.032E+02 
 3.281E+06 ,-1.028E+02 
 3.291E+06 ,-9.895E+01 
 3.301E+06 ,-9.722E+01 
 3.311E+06 ,-9.530E+01 
 3.320E+06 ,-9.838E+01 
 3.330E+06 ,-9.823E+01 
 3.340E+06 ,-9.747E+01 
 3.350E+06 ,-9.652E+01 
 3.359E+06 ,-9.705E+01 
 3.369E+06 ,-9.705E+01 
 3.379E+06 ,-1.025E+02 
