freq,db20
 0.000E+00, -5.176E+01 
 9.766E+03, -5.176E+01 
 1.953E+04, -9.191E+01 
 2.930E+04, -8.657E+01 
 3.906E+04, -9.559E+01 
 4.883E+04, -8.976E+01 
 5.859E+04, -1.094E+02 
 6.836E+04, -8.958E+01 
 7.812E+04, -9.290E+01 
 8.789E+04, -9.148E+01 
 9.766E+04, -9.909E+01 
 1.074E+05, -8.758E+01 
 1.172E+05, -1.010E+02 
 1.270E+05, -9.623E+01 
 1.367E+05, -9.209E+01 
 1.465E+05, -9.031E+01 
 1.562E+05, -9.048E+01 
 1.660E+05, -8.606E+01 
 1.758E+05, -9.143E+01 
 1.855E+05, -8.756E+01 
 1.953E+05, -8.367E+01 
 2.051E+05, -8.290E+01 
 2.148E+05, -8.191E+01 
 2.246E+05, -8.289E+01 
 2.344E+05, -8.695E+01 
 2.441E+05, -9.192E+01 
 2.539E+05, -8.578E+01 
 2.637E+05, -8.027E+01 
 2.734E+05, -7.615E+01 
 2.832E+05, -7.219E+01 
 2.930E+05, -6.009E+00 
 3.027E+05, -9.643E-16 
 3.125E+05, -6.008E+00 
 3.223E+05, -6.873E+01 
 3.320E+05, -8.057E+01 
 3.418E+05, -8.030E+01 
 3.516E+05, -8.614E+01 
 3.613E+05, -1.114E+02 
 3.711E+05, -9.256E+01 
 3.809E+05, -8.541E+01 
 3.906E+05, -8.818E+01 
 4.004E+05, -8.006E+01 
 4.102E+05, -8.926E+01 
 4.199E+05, -8.847E+01 
 4.297E+05, -9.260E+01 
 4.395E+05, -8.761E+01 
 4.492E+05, -8.984E+01 
 4.590E+05, -9.667E+01 
 4.688E+05, -9.657E+01 
 4.785E+05, -8.740E+01 
 4.883E+05, -9.564E+01 
 4.980E+05, -9.615E+01 
 5.078E+05, -8.846E+01 
 5.176E+05, -8.393E+01 
 5.273E+05, -8.835E+01 
 5.371E+05, -8.901E+01 
 5.469E+05, -8.702E+01 
 5.566E+05, -8.333E+01 
 5.664E+05, -8.482E+01 
