D,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan11,Yuan15,S1,S2,S3,S4,S5,Sanyal_98,Li
106.0,66.12109375,44.7880859375,172.7880859375,31.7880859375,132.7431640625,883.486328125,42.2431640625,2.37109375,66.37109375,21.12109375,13.12158203125,77.12158203125,45.12158203125,29.2880859375,18.37109375
107.0,66.12109375,44.7880859375,172.7880859375,31.7880859375,132.7431640625,883.486328125,42.2431640625,2.37109375,66.37109375,21.12109375,13.12158203125,77.12158203125,45.12158203125,29.2880859375,18.37109375
108.0,66.515625,45.1826171875,173.1826171875,31.9326171875,133.5322265625,887.064453125,42.5322265625,2.765625,66.765625,21.015625,13.26611328125,77.26611328125,45.26611328125,29.6826171875,18.765625
109.0,66.515625,45.1826171875,173.1826171875,31.9326171875,133.5322265625,887.064453125,42.5322265625,2.765625,66.765625,21.015625,13.26611328125,77.26611328125,45.26611328125,29.6826171875,18.765625
110.0,67.158203125,45.5751953125,173.5751953125,32.0751953125,134.3173828125,890.634765625,42.8173828125,3.158203125,67.158203125,21.408203125,13.40869140625,77.40869140625,45.40869140625,30.0751953125,19.158203125
111.0,67.158203125,45.5751953125,173.5751953125,32.0751953125,134.3173828125,890.634765625,42.8173828125,3.158203125,67.158203125,21.408203125,13.40869140625,77.40869140625,45.40869140625,30.0751953125,19.158203125
112.0,67.548828125,45.9658203125,173.9658203125,32.2158203125,135.0986328125,894.197265625,43.0986328125,3.548828125,67.548828125,21.298828125,13.54931640625,77.54931640625,45.54931640625,30.4658203125,19.548828125
113.0,67.548828125,45.9658203125,173.9658203125,32.2158203125,135.0986328125,894.197265625,43.0986328125,3.548828125,67.548828125,21.298828125,13.54931640625,77.54931640625,45.54931640625,30.4658203125,19.548828125
114.0,67.6875,46.3544921875,174.3544921875,32.3544921875,135.8759765625,897.751953125,43.3759765625,3.9375,67.9375,21.6875,13.68798828125,77.68798828125,45.68798828125,30.8544921875,19.9375
115.0,67.6875,46.3544921875,174.3544921875,32.3544921875,135.8759765625,897.751953125,43.3759765625,3.9375,67.9375,21.6875,13.68798828125,77.68798828125,45.68798828125,30.8544921875,19.9375
116.0,68.07421875,46.7412109375,174.7412109375,32.4912109375,136.6494140625,901.298828125,43.6494140625,4.32421875,68.32421875,21.57421875,13.82470703125,77.82470703125,45.82470703125,31.2412109375,20.32421875
117.0,68.07421875,46.7412109375,174.7412109375,32.4912109375,136.6494140625,901.298828125,43.6494140625,4.32421875,68.32421875,21.57421875,13.82470703125,77.82470703125,45.82470703125,31.2412109375,20.32421875
118.0,68.708984375,47.1259765625,175.1259765625,32.6259765625,137.4189453125,904.837890625,43.9189453125,4.708984375,68.708984375,21.958984375,13.95947265625,77.95947265625,45.95947265625,31.6259765625,20.708984375
119.0,68.708984375,47.1259765625,175.1259765625,32.6259765625,137.4189453125,904.837890625,43.9189453125,4.708984375,68.708984375,21.958984375,13.95947265625,77.95947265625,45.95947265625,31.6259765625,20.708984375
120.0,69.091796875,47.5087890625,175.5087890625,32.7587890625,138.1845703125,908.369140625,44.1845703125,5.091796875,69.091796875,21.841796875,14.09228515625,78.09228515625,46.09228515625,32.0087890625,21.091796875
121.0,69.091796875,47.5087890625,175.5087890625,32.7587890625,138.1845703125,908.369140625,44.1845703125,5.091796875,69.091796875,21.841796875,14.09228515625,78.09228515625,46.09228515625,32.0087890625,21.091796875
122.0,69.22265625,47.8896484375,175.8896484375,32.8896484375,138.9462890625,911.892578125,44.4462890625,5.47265625,69.47265625,22.22265625,14.22314453125,78.22314453125,46.22314453125,32.3896484375,21.47265625
123.0,69.22265625,47.8896484375,175.8896484375,32.8896484375,138.9462890625,911.892578125,44.4462890625,5.47265625,69.47265625,22.22265625,14.22314453125,78.22314453125,46.22314453125,32.3896484375,21.47265625
124.0,69.6015625,48.2685546875,176.2685546875,33.0185546875,139.7041015625,915.408203125,44.7041015625,5.8515625,69.8515625,22.1015625,14.35205078125,78.35205078125,46.35205078125,32.7685546875,21.8515625
