D,E
0.0,1.078125
1.0,1.078125
2.0,1.546875
3.0,1.546875
4.0,1.484375
5.0,1.484375
6.0,1.890625
7.0,1.890625
8.0,1.265625
9.0,1.265625
10.0,1.609375
11.0,1.609375
12.0,1.921875
13.0,1.921875
14.0,2.203125
15.0,2.203125
16.0,0.453125
17.0,0.453125
18.0,0.671875
19.0,0.671875
20.0,0.859375
21.0,0.859375
22.0,1.015625
23.0,1.015625
24.0,1.140625
25.0,1.140625
26.0,1.234375
27.0,1.234375
28.0,1.296875
29.0,1.296875
30.0,1.328125
31.0,1.328125
32.0,1.328125
33.0,1.328125
34.0,1.296875
35.0,1.296875
36.0,1.234375
37.0,1.234375
38.0,1.140625
39.0,1.140625
40.0,1.015625
41.0,1.015625
42.0,0.859375
43.0,0.859375
44.0,0.671875
45.0,0.671875
46.0,0.453125
47.0,0.453125
48.0,2.203125
49.0,2.203125
50.0,1.921875
51.0,1.921875
52.0,1.609375
53.0,1.609375
54.0,1.265625
55.0,1.265625
56.0,1.890625
57.0,1.890625
58.0,1.484375
59.0,1.484375
60.0,1.546875
61.0,1.546875
62.0,1.078125
63.0,1.078125
