D,E
0.0,5.328125
1.0,5.328125
2.0,6.265625
3.0,6.265625
4.0,7.140625
5.0,7.140625
6.0,7.953125
7.0,7.953125
8.0,8.703125
9.0,8.703125
10.0,9.390625
11.0,9.390625
12.0,10.015625
13.0,10.015625
14.0,10.578125
15.0,10.578125
16.0,11.078125
17.0,11.078125
18.0,11.515625
19.0,11.515625
20.0,11.890625
21.0,11.890625
22.0,12.203125
23.0,12.203125
24.0,12.453125
25.0,12.453125
26.0,12.640625
27.0,12.640625
28.0,12.765625
29.0,12.765625
30.0,12.828125
31.0,12.828125
32.0,12.828125
33.0,12.828125
34.0,12.765625
35.0,12.765625
36.0,12.640625
37.0,12.640625
38.0,12.453125
39.0,12.453125
40.0,12.203125
41.0,12.203125
42.0,11.890625
43.0,11.890625
44.0,11.515625
45.0,11.515625
46.0,11.078125
47.0,11.078125
48.0,10.578125
49.0,10.578125
50.0,10.015625
51.0,10.015625
52.0,9.390625
53.0,9.390625
54.0,8.703125
55.0,8.703125
56.0,7.953125
57.0,7.953125
58.0,7.140625
59.0,7.140625
60.0,6.265625
61.0,6.265625
62.0,5.328125
63.0,5.328125
