D,E
0.0,2.40625
1.0,2.40625
2.0,2.6328125
3.0,2.6328125
4.0,2.5703125
5.0,2.5703125
6.0,2.7265625
7.0,2.7265625
8.0,2.3515625
9.0,2.3515625
10.0,2.4453125
11.0,2.4453125
12.0,2.5078125
13.0,2.5078125
14.0,2.5390625
15.0,2.5390625
16.0,1.5390625
17.0,1.5390625
18.0,1.5078125
19.0,1.5078125
20.0,1.4453125
21.0,1.4453125
22.0,1.3515625
23.0,1.3515625
24.0,1.2265625
25.0,1.2265625
26.0,1.0703125
27.0,1.0703125
28.0,0.8828125
29.0,0.8828125
30.0,0.6640625
31.0,0.6640625
32.0,0.6640625
33.0,0.6640625
34.0,0.8828125
35.0,0.8828125
36.0,1.0703125
37.0,1.0703125
38.0,1.2265625
39.0,1.2265625
40.0,1.3515625
41.0,1.3515625
42.0,1.4453125
43.0,1.4453125
44.0,1.5078125
45.0,1.5078125
46.0,1.5390625
47.0,1.5390625
48.0,2.5390625
49.0,2.5390625
50.0,2.5078125
51.0,2.5078125
52.0,2.4453125
53.0,2.4453125
54.0,2.3515625
55.0,2.3515625
56.0,2.7265625
57.0,2.7265625
58.0,2.5703125
59.0,2.5703125
60.0,2.6328125
61.0,2.6328125
62.0,2.40625
63.0,2.40625
