D,E
0.0,8.65625
1.0,8.15625
2.0,9.125
3.0,8.625
4.0,9.0625
5.0,8.5625
6.0,9.46875
7.0,8.96875
8.0,9.34375
9.0,8.84375
10.0,9.6875
11.0,9.1875
12.0,9.5
13.0,9.0
14.0,9.78125
15.0,9.28125
16.0,5.53125
17.0,5.03125
18.0,5.75
19.0,5.25
20.0,5.4375
21.0,4.9375
22.0,5.59375
23.0,5.09375
24.0,5.21875
25.0,4.71875
26.0,5.3125
27.0,4.8125
28.0,4.875
29.0,4.375
30.0,4.90625
31.0,4.40625
32.0,4.40625
33.0,4.90625
34.0,4.375
35.0,4.875
36.0,4.8125
37.0,5.3125
38.0,4.71875
39.0,5.21875
40.0,5.09375
41.0,5.59375
42.0,4.9375
43.0,5.4375
44.0,5.25
45.0,5.75
46.0,5.03125
47.0,5.53125
48.0,9.28125
49.0,9.78125
50.0,9.0
51.0,9.5
52.0,9.1875
53.0,9.6875
54.0,8.84375
55.0,9.34375
56.0,8.96875
57.0,9.46875
58.0,8.5625
59.0,9.0625
60.0,8.625
61.0,9.125
62.0,8.15625
63.0,8.65625
