D,E
0.0,1.328125
1.0,1.328125
2.0,1.765625
3.0,1.765625
4.0,2.140625
5.0,2.140625
6.0,2.453125
7.0,2.453125
8.0,2.703125
9.0,2.703125
10.0,2.890625
11.0,2.890625
12.0,3.015625
13.0,3.015625
14.0,3.078125
15.0,3.078125
16.0,3.078125
17.0,3.078125
18.0,3.015625
19.0,3.015625
20.0,2.890625
21.0,2.890625
22.0,2.703125
23.0,2.703125
24.0,2.453125
25.0,2.453125
26.0,2.140625
27.0,2.140625
28.0,1.765625
29.0,1.765625
30.0,1.328125
31.0,1.328125
32.0,1.328125
33.0,1.328125
34.0,1.765625
35.0,1.765625
36.0,2.140625
37.0,2.140625
38.0,2.453125
39.0,2.453125
40.0,2.703125
41.0,2.703125
42.0,2.890625
43.0,2.890625
44.0,3.015625
45.0,3.015625
46.0,3.078125
47.0,3.078125
48.0,3.078125
49.0,3.078125
50.0,3.015625
51.0,3.015625
52.0,2.890625
53.0,2.890625
54.0,2.703125
55.0,2.703125
56.0,2.453125
57.0,2.453125
58.0,2.140625
59.0,2.140625
60.0,1.765625
61.0,1.765625
62.0,1.328125
63.0,1.328125
