D,E
0.0,4.40625
1.0,4.40625
2.0,4.6328125
3.0,4.6328125
4.0,4.5703125
5.0,4.5703125
6.0,4.7265625
7.0,4.7265625
8.0,4.3515625
9.0,4.3515625
10.0,4.4453125
11.0,4.4453125
12.0,4.5078125
13.0,4.5078125
14.0,4.5390625
15.0,4.5390625
16.0,3.5390625
17.0,3.5390625
18.0,3.5078125
19.0,3.5078125
20.0,3.4453125
21.0,3.4453125
22.0,3.3515625
23.0,3.3515625
24.0,3.2265625
25.0,3.2265625
26.0,3.0703125
27.0,3.0703125
28.0,2.8828125
29.0,2.8828125
30.0,2.6640625
31.0,2.6640625
32.0,2.6640625
33.0,2.6640625
34.0,2.8828125
35.0,2.8828125
36.0,3.0703125
37.0,3.0703125
38.0,3.2265625
39.0,3.2265625
40.0,3.3515625
41.0,3.3515625
42.0,3.4453125
43.0,3.4453125
44.0,3.5078125
45.0,3.5078125
46.0,3.5390625
47.0,3.5390625
48.0,4.5390625
49.0,4.5390625
50.0,4.5078125
51.0,4.5078125
52.0,4.4453125
53.0,4.4453125
54.0,4.3515625
55.0,4.3515625
56.0,4.7265625
57.0,4.7265625
58.0,4.5703125
59.0,4.5703125
60.0,4.6328125
61.0,4.6328125
62.0,4.40625
63.0,4.40625
