D,E
0.0,0.40625
1.0,0.40625
2.0,0.6328125
3.0,0.6328125
4.0,0.5703125
5.0,0.5703125
6.0,0.7265625
7.0,0.7265625
8.0,0.3515625
9.0,0.3515625
10.0,0.4453125
11.0,0.4453125
12.0,0.5078125
13.0,0.5078125
14.0,0.5390625
15.0,0.5390625
16.0,-0.4609375
17.0,-0.4609375
18.0,-0.4921875
19.0,-0.4921875
20.0,-0.5546875
21.0,-0.5546875
22.0,-0.6484375
23.0,-0.6484375
24.0,-0.7734375
25.0,-0.7734375
26.0,-0.9296875
27.0,-0.9296875
28.0,-1.1171875
29.0,-1.1171875
30.0,-1.3359375
31.0,-1.3359375
32.0,-1.3359375
33.0,-1.3359375
34.0,-1.1171875
35.0,-1.1171875
36.0,-0.9296875
37.0,-0.9296875
38.0,-0.7734375
39.0,-0.7734375
40.0,-0.6484375
41.0,-0.6484375
42.0,-0.5546875
43.0,-0.5546875
44.0,-0.4921875
45.0,-0.4921875
46.0,-0.4609375
47.0,-0.4609375
48.0,0.5390625
49.0,0.5390625
50.0,0.5078125
51.0,0.5078125
52.0,0.4453125
53.0,0.4453125
54.0,0.3515625
55.0,0.3515625
56.0,0.7265625
57.0,0.7265625
58.0,0.5703125
59.0,0.5703125
60.0,0.6328125
61.0,0.6328125
62.0,0.40625
63.0,0.40625
