D,E
0.0,17.40625
1.0,16.90625
2.0,17.875
3.0,17.375
4.0,17.8125
5.0,18.3125
6.0,18.21875
7.0,18.71875
8.0,19.09375
9.0,18.59375
10.0,19.4375
11.0,18.9375
12.0,19.25
13.0,19.75
14.0,19.53125
15.0,20.03125
16.0,20.28125
17.0,19.78125
18.0,20.5
19.0,20.0
20.0,20.1875
21.0,20.6875
22.0,20.34375
23.0,20.84375
24.0,20.96875
25.0,20.46875
26.0,21.0625
27.0,20.5625
28.0,20.625
29.0,21.125
30.0,20.65625
31.0,21.15625
32.0,21.15625
33.0,20.65625
34.0,21.125
35.0,20.625
36.0,20.5625
37.0,21.0625
38.0,20.46875
39.0,20.96875
40.0,20.84375
41.0,20.34375
42.0,20.6875
43.0,20.1875
44.0,20.0
45.0,20.5
46.0,19.78125
47.0,20.28125
48.0,20.03125
49.0,19.53125
50.0,19.75
51.0,19.25
52.0,18.9375
53.0,19.4375
54.0,18.59375
55.0,19.09375
56.0,18.71875
57.0,18.21875
58.0,18.3125
59.0,17.8125
60.0,17.375
61.0,17.875
62.0,16.90625
63.0,17.40625
