freq,db20
 0.00000E+00 ,-7.12105E+01 
 9.76562E+03 ,-7.09888E+01 
 1.95312E+04 ,-9.95708E+01 
 2.92969E+04 ,-9.42545E+01 
 3.90625E+04 ,-9.85961E+01 
 4.88281E+04 ,-1.03453E+02 
 5.85938E+04 ,-1.02047E+02 
 6.83594E+04 ,-1.00551E+02 
 7.81250E+04 ,-1.02559E+02 
 8.78906E+04 ,-9.62104E+01 
 9.76562E+04 ,-9.90466E+01 
 1.07422E+05 ,-9.82913E+01 
 1.17188E+05 ,-1.07346E+02 
 1.26953E+05 ,-1.04615E+02 
 1.36719E+05 ,-1.07294E+02 
 1.46484E+05 ,-1.02093E+02 
 1.56250E+05 ,-1.02590E+02 
 1.66016E+05 ,-1.03884E+02 
 1.75781E+05 ,-1.04443E+02 
 1.85547E+05 ,-1.07671E+02 
 1.95312E+05 ,-1.04681E+02 
 2.05078E+05 ,-1.02418E+02 
 2.14844E+05 ,-1.04569E+02 
 2.24609E+05 ,-9.82721E+01 
 2.34375E+05 ,-1.08393E+02 
 2.44141E+05 ,-1.05242E+02 
 2.53906E+05 ,-9.88666E+01 
 2.63672E+05 ,-9.67479E+01 
 2.73438E+05 ,-9.25940E+01 
 2.83203E+05 ,-8.38172E+01 
 2.92969E+05 ,-2.01044E+01 
 3.02734E+05 ,-1.40965E+01 
 3.12500E+05 ,-2.01045E+01 
 3.22266E+05 ,-8.39886E+01 
 3.32031E+05 ,-9.15723E+01 
 3.41797E+05 ,-9.75440E+01 
 3.51562E+05 ,-1.02288E+02 
 3.61328E+05 ,-1.01590E+02 
 3.71094E+05 ,-1.16863E+02 
 3.80859E+05 ,-9.85853E+01 
 3.90625E+05 ,-1.04405E+02 
 4.00391E+05 ,-1.04960E+02 
 4.10156E+05 ,-1.07910E+02 
 4.19922E+05 ,-9.61805E+01 
 4.29688E+05 ,-1.11810E+02 
 4.39453E+05 ,-1.00466E+02 
 4.49219E+05 ,-1.03274E+02 
 4.58984E+05 ,-1.00600E+02 
 4.68750E+05 ,-1.00249E+02 
 4.78516E+05 ,-9.82661E+01 
 4.88281E+05 ,-1.02057E+02 
 4.98047E+05 ,-1.05607E+02 
 5.07812E+05 ,-1.03578E+02 
 5.17578E+05 ,-1.00402E+02 
 5.27344E+05 ,-1.08431E+02 
 5.37109E+05 ,-1.12264E+02 
 5.46875E+05 ,-1.10906E+02 
 5.56641E+05 ,-1.11338E+02 
 5.66406E+05 ,-1.03385E+02 
 5.76172E+05 ,-9.67786E+01 
 5.85938E+05 ,-1.03319E+02 
 5.95703E+05 ,-1.01626E+02 
 6.05469E+05 ,-1.03667E+02 
 6.15234E+05 ,-9.75822E+01 
 6.25000E+05 ,-1.02033E+02 
 6.34766E+05 ,-1.13061E+02 
 6.44531E+05 ,-1.13124E+02 
 6.54297E+05 ,-1.04088E+02 
 6.64062E+05 ,-1.23495E+02 
 6.73828E+05 ,-1.05367E+02 
 6.83594E+05 ,-1.03632E+02 
 6.93359E+05 ,-1.01750E+02 
 7.03125E+05 ,-1.13476E+02 
 7.12891E+05 ,-1.02511E+02 
 7.22656E+05 ,-1.05920E+02 
 7.32422E+05 ,-9.99304E+01 
 7.42188E+05 ,-9.86698E+01 
 7.51953E+05 ,-9.53978E+01 
 7.61719E+05 ,-9.95436E+01 
 7.71484E+05 ,-1.04684E+02 
 7.81250E+05 ,-1.07912E+02 
 7.91016E+05 ,-1.08490E+02 
 8.00781E+05 ,-1.13527E+02 
 8.10547E+05 ,-1.09087E+02 
 8.20312E+05 ,-1.10031E+02 
 8.30078E+05 ,-1.11613E+02 
 8.39844E+05 ,-1.08218E+02 
 8.49609E+05 ,-1.04585E+02 
 8.59375E+05 ,-1.07119E+02 
 8.69141E+05 ,-1.02122E+02 
 8.78906E+05 ,-1.04154E+02 
 8.88672E+05 ,-1.00301E+02 
 8.98438E+05 ,-1.04053E+02 
 9.08203E+05 ,-9.99969E+01 
 9.17969E+05 ,-1.07302E+02 
 9.27734E+05 ,-1.06322E+02 
 9.37500E+05 ,-1.01294E+02 
 9.47266E+05 ,-9.77564E+01 
 9.57031E+05 ,-9.72150E+01 
 9.66797E+05 ,-9.66817E+01 
 9.76562E+05 ,-1.18353E+02 
 9.86328E+05 ,-9.82642E+01 
 9.96094E+05 ,-9.66062E+01 
 1.00586E+06 ,-9.49311E+01 
 1.01562E+06 ,-9.98321E+01 
 1.02539E+06 ,-9.48872E+01 
 1.03516E+06 ,-1.02886E+02 
 1.04492E+06 ,-9.97867E+01 
 1.05469E+06 ,-1.08436E+02 
 1.06445E+06 ,-1.06745E+02 
 1.07422E+06 ,-1.16737E+02 
 1.08398E+06 ,-1.07018E+02 
 1.09375E+06 ,-9.88513E+01 
 1.10352E+06 ,-9.46760E+01 
 1.11328E+06 ,-9.57353E+01 
 1.12305E+06 ,-9.65120E+01 
 1.13281E+06 ,-1.04969E+02 
 1.14258E+06 ,-1.03607E+02 
 1.15234E+06 ,-1.14905E+02 
 1.16211E+06 ,-1.10449E+02 
 1.17188E+06 ,-1.08615E+02 
 1.18164E+06 ,-9.98154E+01 
 1.19141E+06 ,-1.02933E+02 
 1.20117E+06 ,-1.05141E+02 
 1.21094E+06 ,-1.06348E+02 
 1.22070E+06 ,-1.04593E+02 
 1.23047E+06 ,-9.81054E+01 
 1.24023E+06 ,-9.33396E+01 
 1.25000E+06 ,-1.06459E+02 
 1.25977E+06 ,-9.51577E+01 
 1.26953E+06 ,-9.84371E+01 
 1.27930E+06 ,-1.01429E+02 
 1.28906E+06 ,-1.03145E+02 
 1.29883E+06 ,-1.01847E+02 
 1.30859E+06 ,-1.06151E+02 
 1.31836E+06 ,-9.51151E+01 
 1.32812E+06 ,-1.06627E+02 
 1.33789E+06 ,-1.01608E+02 
 1.34766E+06 ,-9.91029E+01 
 1.35742E+06 ,-9.62340E+01 
 1.36719E+06 ,-1.02082E+02 
 1.37695E+06 ,-1.03168E+02 
 1.38672E+06 ,-1.04246E+02 
 1.39648E+06 ,-1.05516E+02 
 1.40625E+06 ,-1.09468E+02 
 1.41602E+06 ,-1.04914E+02 
 1.42578E+06 ,-1.13913E+02 
 1.43555E+06 ,-1.01626E+02 
 1.44531E+06 ,-1.07341E+02 
 1.45508E+06 ,-1.03803E+02 
 1.46484E+06 ,-1.20554E+02 
 1.47461E+06 ,-1.01793E+02 
 1.48438E+06 ,-1.09929E+02 
 1.49414E+06 ,-9.68790E+01 
 1.50391E+06 ,-1.01289E+02 
 1.51367E+06 ,-9.60477E+01 
 1.52344E+06 ,-1.07622E+02 
 1.53320E+06 ,-9.89525E+01 
 1.54297E+06 ,-9.82653E+01 
 1.55273E+06 ,-9.73470E+01 
 1.56250E+06 ,-1.06584E+02 
 1.57227E+06 ,-1.07540E+02 
 1.58203E+06 ,-1.08540E+02 
 1.59180E+06 ,-1.07488E+02 
 1.60156E+06 ,-1.05501E+02 
 1.61133E+06 ,-1.02189E+02 
 1.62109E+06 ,-1.12207E+02 
 1.63086E+06 ,-1.08277E+02 
 1.64062E+06 ,-1.18445E+02 
 1.65039E+06 ,-1.05455E+02 
 1.66016E+06 ,-1.13025E+02 
 1.66992E+06 ,-1.00215E+02 
 1.67969E+06 ,-1.05624E+02 
 1.68945E+06 ,-1.00475E+02 
 1.69922E+06 ,-1.06221E+02 
 1.70898E+06 ,-1.03137E+02 
 1.71875E+06 ,-1.14574E+02 
 1.72852E+06 ,-9.95094E+01 
 1.73828E+06 ,-1.04874E+02 
 1.74805E+06 ,-9.60010E+01 
 1.75781E+06 ,-1.06632E+02 
 1.76758E+06 ,-9.94453E+01 
 1.77734E+06 ,-9.97806E+01 
 1.78711E+06 ,-1.00079E+02 
 1.79688E+06 ,-9.94373E+01 
 1.80664E+06 ,-9.79187E+01 
 1.81641E+06 ,-1.03874E+02 
 1.82617E+06 ,-1.00484E+02 
 1.83594E+06 ,-1.07566E+02 
 1.84570E+06 ,-9.87307E+01 
 1.85547E+06 ,-1.03504E+02 
 1.86523E+06 ,-9.95194E+01 
 1.87500E+06 ,-1.07302E+02 
 1.88477E+06 ,-9.99002E+01 
 1.89453E+06 ,-1.17300E+02 
 1.90430E+06 ,-1.00691E+02 
 1.91406E+06 ,-1.01786E+02 
 1.92383E+06 ,-1.00234E+02 
 1.93359E+06 ,-1.00680E+02 
 1.94336E+06 ,-1.00767E+02 
 1.95312E+06 ,-1.11238E+02 
 1.96289E+06 ,-9.73783E+01 
 1.97266E+06 ,-1.00172E+02 
 1.98242E+06 ,-1.04369E+02 
 1.99219E+06 ,-1.12306E+02 
 2.00195E+06 ,-1.01228E+02 
 2.01172E+06 ,-9.99607E+01 
 2.02148E+06 ,-9.67556E+01 
 2.03125E+06 ,-9.81316E+01 
 2.04102E+06 ,-9.97932E+01 
 2.05078E+06 ,-1.06128E+02 
 2.06055E+06 ,-1.22316E+02 
 2.07031E+06 ,-1.08916E+02 
 2.08008E+06 ,-1.02128E+02 
 2.08984E+06 ,-1.03133E+02 
 2.09961E+06 ,-9.88999E+01 
 2.10938E+06 ,-1.00416E+02 
 2.11914E+06 ,-9.91115E+01 
 2.12891E+06 ,-1.20120E+02 
 2.13867E+06 ,-9.84128E+01 
 2.14844E+06 ,-1.02620E+02 
 2.15820E+06 ,-1.07091E+02 
 2.16797E+06 ,-1.09504E+02 
 2.17773E+06 ,-1.10794E+02 
 2.18750E+06 ,-1.13796E+02 
 2.19727E+06 ,-1.12623E+02 
 2.20703E+06 ,-1.09832E+02 
 2.21680E+06 ,-1.01376E+02 
 2.22656E+06 ,-1.05798E+02 
 2.23633E+06 ,-1.04513E+02 
 2.24609E+06 ,-1.03795E+02 
 2.25586E+06 ,-1.03136E+02 
 2.26562E+06 ,-9.94399E+01 
 2.27539E+06 ,-9.68273E+01 
 2.28516E+06 ,-1.03733E+02 
 2.29492E+06 ,-1.01750E+02 
 2.30469E+06 ,-1.06014E+02 
 2.31445E+06 ,-1.04988E+02 
 2.32422E+06 ,-1.08895E+02 
 2.33398E+06 ,-1.06480E+02 
 2.34375E+06 ,-1.06745E+02 
 2.35352E+06 ,-9.91474E+01 
 2.36328E+06 ,-9.99955E+01 
 2.37305E+06 ,-1.00957E+02 
 2.38281E+06 ,-1.10213E+02 
 2.39258E+06 ,-9.64075E+01 
 2.40234E+06 ,-9.89029E+01 
 2.41211E+06 ,-1.02442E+02 
 2.42188E+06 ,-1.01612E+02 
 2.43164E+06 ,-9.87086E+01 
 2.44141E+06 ,-1.01618E+02 
 2.45117E+06 ,-1.04923E+02 
 2.46094E+06 ,-1.08578E+02 
 2.47070E+06 ,-1.07507E+02 
 2.48047E+06 ,-1.04791E+02 
 2.49023E+06 ,-9.97406E+01 
 2.50000E+06 ,-1.03403E+02 
 2.50977E+06 ,-1.09539E+02 
 2.51953E+06 ,-1.09647E+02 
 2.52930E+06 ,-1.00593E+02 
 2.53906E+06 ,-1.02054E+02 
 2.54883E+06 ,-1.03718E+02 
 2.55859E+06 ,-1.03533E+02 
 2.56836E+06 ,-1.03364E+02 
 2.57812E+06 ,-1.09505E+02 
 2.58789E+06 ,-1.13607E+02 
 2.59766E+06 ,-1.06977E+02 
 2.60742E+06 ,-1.00475E+02 
 2.61719E+06 ,-1.08699E+02 
 2.62695E+06 ,-1.00614E+02 
 2.63672E+06 ,-9.84026E+01 
 2.64648E+06 ,-9.46126E+01 
 2.65625E+06 ,-9.89627E+01 
 2.66602E+06 ,-9.74224E+01 
 2.67578E+06 ,-1.03082E+02 
 2.68555E+06 ,-9.70493E+01 
 2.69531E+06 ,-9.77746E+01 
 2.70508E+06 ,-9.79702E+01 
 2.71484E+06 ,-1.01793E+02 
 2.72461E+06 ,-1.03550E+02 
 2.73438E+06 ,-1.12100E+02 
 2.74414E+06 ,-1.14669E+02 
 2.75391E+06 ,-1.08946E+02 
 2.76367E+06 ,-1.03540E+02 
 2.77344E+06 ,-1.01762E+02 
 2.78320E+06 ,-9.48216E+01 
 2.79297E+06 ,-9.85702E+01 
 2.80273E+06 ,-1.05002E+02 
 2.81250E+06 ,-1.16162E+02 
 2.82227E+06 ,-1.02544E+02 
 2.83203E+06 ,-1.08059E+02 
 2.84180E+06 ,-1.08232E+02 
 2.85156E+06 ,-1.07406E+02 
 2.86133E+06 ,-1.05021E+02 
 2.87109E+06 ,-1.10436E+02 
 2.88086E+06 ,-1.01547E+02 
 2.89062E+06 ,-1.07860E+02 
 2.90039E+06 ,-1.04120E+02 
 2.91016E+06 ,-1.05224E+02 
 2.91992E+06 ,-9.84043E+01 
 2.92969E+06 ,-1.01219E+02 
 2.93945E+06 ,-1.01688E+02 
 2.94922E+06 ,-1.08455E+02 
 2.95898E+06 ,-1.10818E+02 
 2.96875E+06 ,-1.03853E+02 
 2.97852E+06 ,-9.99794E+01 
 2.98828E+06 ,-1.02093E+02 
 2.99805E+06 ,-1.02129E+02 
 3.00781E+06 ,-1.04117E+02 
 3.01758E+06 ,-1.02200E+02 
 3.02734E+06 ,-1.13323E+02 
 3.03711E+06 ,-1.01355E+02 
 3.04688E+06 ,-1.00286E+02 
 3.05664E+06 ,-9.80717E+01 
 3.06641E+06 ,-9.84243E+01 
 3.07617E+06 ,-9.74160E+01 
 3.08594E+06 ,-1.06202E+02 
 3.09570E+06 ,-1.04590E+02 
 3.10547E+06 ,-1.07784E+02 
 3.11523E+06 ,-1.02367E+02 
 3.12500E+06 ,-1.00725E+02 
 3.13477E+06 ,-9.93450E+01 
 3.14453E+06 ,-1.02639E+02 
 3.15430E+06 ,-9.75752E+01 
 3.16406E+06 ,-1.02834E+02 
 3.17383E+06 ,-1.01769E+02 
 3.18359E+06 ,-1.00241E+02 
 3.19336E+06 ,-9.84957E+01 
 3.20312E+06 ,-1.06494E+02 
 3.21289E+06 ,-1.03577E+02 
 3.22266E+06 ,-1.02269E+02 
 3.23242E+06 ,-1.00870E+02 
 3.24219E+06 ,-1.07293E+02 
 3.25195E+06 ,-1.27452E+02 
 3.26172E+06 ,-1.05098E+02 
 3.27148E+06 ,-9.89330E+01 
 3.28125E+06 ,-1.00194E+02 
 3.29102E+06 ,-1.01686E+02 
 3.30078E+06 ,-1.04966E+02 
 3.31055E+06 ,-1.04677E+02 
 3.32031E+06 ,-1.02767E+02 
 3.33008E+06 ,-1.01169E+02 
 3.33984E+06 ,-1.13961E+02 
 3.34961E+06 ,-1.02445E+02 
 3.35938E+06 ,-1.01534E+02 
 3.36914E+06 ,-9.94121E+01 
 3.37891E+06 ,-9.87851E+01 
 3.38867E+06 ,-9.78071E+01 
 3.39844E+06 ,-1.13305E+02 
 3.40820E+06 ,-1.00800E+02 
 3.41797E+06 ,-1.06561E+02 
 3.42773E+06 ,-1.21555E+02 
 3.43750E+06 ,-1.09708E+02 
 3.44727E+06 ,-1.04311E+02 
 3.45703E+06 ,-1.02886E+02 
 3.46680E+06 ,-1.00849E+02 
 3.47656E+06 ,-1.05447E+02 
