t, vcin_pseudo, vcip_pseudo
 0.00000E+00 , 6.00000E-01 , 6.00000E-01 
 3.35637E-09 , 6.00001E-01 , 6.00001E-01 
 3.35652E-09 , 6.00002E-01 , 6.00002E-01 
 3.35658E-09 , 6.00004E-01 , 6.00004E-01 
 3.35664E-09 , 7.41055E-01 , 7.41055E-01 
 3.35667E-09 , 7.65553E-01 , 7.65553E-01 
 3.35669E-09 , 7.78989E-01 , 7.78989E-01 
 3.35671E-09 , 7.90246E-01 , 7.90246E-01 
 3.35674E-09 , 8.04304E-01 , 8.04304E-01 
 3.35677E-09 , 8.16169E-01 , 8.16169E-01 
 3.35680E-09 , 8.26549E-01 , 8.26549E-01 
 3.35684E-09 , 8.38711E-01 , 8.38711E-01 
 3.35689E-09 , 8.51904E-01 , 8.51904E-01 
 3.35696E-09 , 8.67627E-01 , 8.67627E-01 
 3.35705E-09 , 8.84430E-01 , 8.84430E-01 
 3.35714E-09 , 8.98410E-01 , 8.98410E-01 
 3.35725E-09 , 9.12652E-01 , 9.12652E-01 
 3.35739E-09 , 9.27400E-01 , 9.27400E-01 
 3.35755E-09 , 9.40813E-01 , 9.40813E-01 
 3.35773E-09 , 9.52660E-01 , 9.52660E-01 
 3.35787E-09 , 9.60057E-01 , 9.60057E-01 
 3.35806E-09 , 9.68162E-01 , 9.68162E-01 
 3.35823E-09 , 9.73935E-01 , 9.73935E-01 
 3.35841E-09 , 9.78863E-01 , 9.78863E-01 
 3.35860E-09 , 9.83024E-01 , 9.83024E-01 
 3.35882E-09 , 9.86809E-01 , 9.86809E-01 
 3.35907E-09 , 9.90083E-01 , 9.90083E-01 
 3.35930E-09 , 9.92363E-01 , 9.92363E-01 
 3.35955E-09 , 9.94246E-01 , 9.94246E-01 
 3.35983E-09 , 9.95808E-01 , 9.95808E-01 
 3.36015E-09 , 9.97082E-01 , 9.97082E-01 
 3.36052E-09 , 9.98083E-01 , 9.98083E-01 
 3.36096E-09 , 9.98840E-01 , 9.98840E-01 
 3.36149E-09 , 9.99371E-01 , 9.99371E-01 
 3.36216E-09 , 9.99713E-01 , 9.99713E-01 
 3.36306E-09 , 9.99901E-01 , 9.99901E-01 
 3.36454E-09 , 9.99977E-01 , 9.99977E-01 
 3.36666E-09 , 9.99983E-01 , 9.99983E-01 
 3.36719E-09 , 9.99990E-01 , 9.99990E-01 
 3.36761E-09 , 9.99994E-01 , 9.99994E-01 
 3.36845E-09 , 9.99998E-01 , 9.99998E-01 
 3.37013E-09 , 1.00000E+00 , 1.00000E+00 
 3.38605E-09 , 1.00000E+00 , 1.00000E+00 
 5.48715E-09 , 9.99998E-01 , 9.99998E-01 
 9.61613E-09 , 9.99994E-01 , 9.99995E-01 
 9.61615E-09 , 9.95717E-01 , 9.97066E-01 
 9.61617E-09 , 9.90536E-01 , 9.92115E-01 
 9.61619E-09 , 9.84805E-01 , 9.86569E-01 
 9.61622E-09 , 9.75945E-01 , 9.77931E-01 
 9.61626E-09 , 9.64419E-01 , 9.66652E-01 
 9.61631E-09 , 9.50920E-01 , 9.53429E-01 
 9.61638E-09 , 9.33804E-01 , 9.36664E-01 
 9.61646E-09 , 9.16532E-01 , 9.19758E-01 
 9.61656E-09 , 8.97773E-01 , 9.01422E-01 
 9.61667E-09 , 8.80013E-01 , 8.84092E-01 
 9.61679E-09 , 8.63272E-01 , 8.67790E-01 
 9.61695E-09 , 8.44115E-01 , 8.49177E-01 
 9.61713E-09 , 8.25707E-01 , 8.31334E-01 
 9.61729E-09 , 8.11398E-01 , 8.17493E-01 
 9.61746E-09 , 7.97785E-01 , 8.04348E-01 
 9.61770E-09 , 7.80674E-01 , 7.87848E-01 
 9.61790E-09 , 7.67894E-01 , 7.75540E-01 
 9.61827E-09 , 7.46964E-01 , 7.55401E-01 
 9.61858E-09 , 7.31607E-01 , 7.40635E-01 
 9.61892E-09 , 7.16634E-01 , 7.26243E-01 
 9.61933E-09 , 7.00772E-01 , 7.10999E-01 
 9.61978E-09 , 6.85715E-01 , 6.96531E-01 
 9.62029E-09 , 6.71174E-01 , 6.82559E-01 
 9.62086E-09 , 6.57589E-01 , 6.69506E-01 
 9.62149E-09 , 6.45284E-01 , 6.57683E-01 
 9.62218E-09 , 6.34458E-01 , 6.47282E-01 
 9.62295E-09 , 6.24976E-01 , 6.38172E-01 
 9.62381E-09 , 6.16896E-01 , 6.30410E-01 
 9.62481E-09 , 6.09995E-01 , 6.23779E-01 
 9.62600E-09 , 6.04281E-01 , 6.18291E-01 
 9.62740E-09 , 5.99910E-01 , 6.14093E-01 
 9.62911E-09 , 5.96728E-01 , 6.11038E-01 
 9.63129E-09 , 5.94613E-01 , 6.09009E-01 
 9.63424E-09 , 5.93410E-01 , 6.07858E-01 
 9.63832E-09 , 5.92929E-01 , 6.07401E-01 
 9.64433E-09 , 5.92835E-01 , 6.07320E-01 
 9.65320E-09 , 5.92822E-01 , 6.07320E-01 
 9.66829E-09 , 5.92769E-01 , 6.07292E-01 
 9.69847E-09 , 5.92711E-01 , 6.07280E-01 
 9.75883E-09 , 5.92669E-01 , 6.07329E-01 
 9.87955E-09 , 5.92582E-01 , 6.07423E-01 
 1.01210E-08 , 5.92398E-01 , 6.07602E-01 
 1.43683E-08 , 5.89208E-01 , 6.10791E-01 
 2.27132E-08 , 5.82942E-01 , 6.17056E-01 
 2.82912E-08 , 5.78756E-01 , 6.21244E-01 
 2.95330E-08 , 5.77824E-01 , 6.22176E-01 
 3.45564E-08 , 5.74057E-01 , 6.25943E-01 
 3.45564E-08 , 5.45192E-01 , 5.97078E-01 
 3.45564E-08 , 5.41489E-01 , 5.93375E-01 
 3.45565E-08 , 5.39196E-01 , 5.91082E-01 
 3.45565E-08 , 5.37997E-01 , 5.89883E-01 
 3.45565E-08 , 5.37434E-01 , 5.89320E-01 
 3.45565E-08 , 5.37876E-01 , 5.89762E-01 
 3.45566E-08 , 5.39403E-01 , 5.91289E-01 
 3.45567E-08 , 5.41972E-01 , 5.93857E-01 
 3.45567E-08 , 5.45947E-01 , 5.97832E-01 
 3.45568E-08 , 5.51628E-01 , 6.03513E-01 
 3.45570E-08 , 5.58473E-01 , 6.10358E-01 
 3.45572E-08 , 5.65740E-01 , 6.17626E-01 
 3.45574E-08 , 5.72744E-01 , 6.24629E-01 
 3.45575E-08 , 5.77776E-01 , 6.29661E-01 
