t,v_swsamp
 3.90956E-06 , 0.00000E+00 
 3.90956E-06 , 9.00000E-01 
 3.93455E-06 , 9.00000E-01 
 3.93455E-06 , 5.04871E-39 
 4.00956E-06 , 0.00000E+00 
 4.00956E-06 , 9.00000E-01 
 4.03455E-06 , 9.00000E-01 
 4.03455E-06 , 3.85186E-33 
 4.10956E-06 , 0.00000E+00 
 4.10956E-06 , 9.00000E-01 
 4.13455E-06 , 9.00000E-01 
 4.13455E-06 , 7.60488E-13 
 4.17375E-06 , 0.00000E+00 
 4.20956E-06 , 0.00000E+00 
 4.20956E-06 , 9.00000E-01 
 4.23455E-06 , 9.00000E-01 
 4.23455E-06 ,-1.97215E-30 
 4.30956E-06 , 0.00000E+00 
 4.30956E-06 , 9.00000E-01 
 4.33455E-06 , 9.00000E-01 
 4.33455E-06 ,-1.86897E-26 
 4.40956E-06 , 0.00000E+00 
 4.40956E-06 , 9.00000E-01 
 4.43455E-06 , 9.00000E-01 
 4.43455E-06 , 0.00000E+00 
 4.50956E-06 , 0.00000E+00 
 4.50956E-06 , 9.00000E-01 
 4.53455E-06 , 9.00000E-01 
 4.53455E-06 , 0.00000E+00 
 4.60956E-06 , 0.00000E+00 
 4.60956E-06 , 9.00000E-01 
 4.63455E-06 , 9.00000E-01 
 4.63455E-06 , 6.16298E-33 
 4.70956E-06 , 0.00000E+00 
 4.70956E-06 , 9.00000E-01 
 4.73455E-06 , 9.00000E-01 
 4.73455E-06 , 0.00000E+00 
 4.80956E-06 , 0.00000E+00 
 4.80956E-06 , 9.00000E-01 
 4.83455E-06 , 9.00000E-01 
 4.83455E-06 , 2.72452E-13 
 4.90956E-06 , 0.00000E+00 
 4.90956E-06 , 9.00000E-01 
 4.93455E-06 , 9.00000E-01 
 4.93455E-06 ,-4.42197E-22 
 5.00956E-06 , 0.00000E+00 
 5.00956E-06 , 9.00000E-01 
 5.03455E-06 , 9.00000E-01 
 5.03455E-06 , 2.80648E-13 
 5.10956E-06 , 0.00000E+00 
 5.10956E-06 , 9.00000E-01 
 5.13455E-06 , 9.00000E-01 
 5.13455E-06 ,-2.65651E-25 
 5.20956E-06 , 0.00000E+00 
 5.20956E-06 , 9.00000E-01 
 5.23455E-06 , 9.00000E-01 
 5.23455E-06 , 6.42371E-18 
 5.30956E-06 , 0.00000E+00 
 5.30956E-06 , 9.00000E-01 
 5.33455E-06 , 9.00000E-01 
 5.33455E-06 , 0.00000E+00 
 5.40956E-06 , 0.00000E+00 
 5.40956E-06 , 9.00000E-01 
 5.43455E-06 , 9.00000E-01 
 5.43455E-06 ,-1.51461E-28 
 5.50956E-06 , 0.00000E+00 
 5.50956E-06 , 9.00000E-01 
 5.53455E-06 , 9.00000E-01 
 5.53455E-06 ,-6.16298E-33 
 5.60956E-06 , 0.00000E+00 
 5.60956E-06 , 9.00000E-01 
 5.63455E-06 , 9.00000E-01 
 5.63455E-06 , 3.78653E-29 
 5.70956E-06 , 0.00000E+00 
 5.70956E-06 , 9.00000E-01 
 5.73455E-06 , 9.00000E-01 
 5.73455E-06 , 9.24446E-33 
 5.80956E-06 , 0.00000E+00 
 5.80956E-06 , 9.00000E-01 
 5.83455E-06 , 9.00000E-01 
 5.83455E-06 ,-2.36658E-30 
 5.90956E-06 , 0.00000E+00 
 5.90956E-06 , 9.00000E-01 
 5.93455E-06 , 9.00000E-01 
 5.93455E-06 ,-9.24446E-33 
 6.00956E-06 , 0.00000E+00 
 6.00956E-06 , 9.00000E-01 
 6.03455E-06 , 9.00000E-01 
 6.03455E-06 , 1.98898E-21 
 6.10956E-06 , 0.00000E+00 
 6.10956E-06 , 9.00000E-01 
 6.13455E-06 , 9.00000E-01 
 6.13455E-06 , 5.04871E-39 
 6.20956E-06 , 0.00000E+00 
 6.20956E-06 , 9.00000E-01 
 6.23455E-06 , 9.00000E-01 
 6.23455E-06 , 1.65923E-13 
 6.30956E-06 , 0.00000E+00 
 6.30956E-06 , 9.00000E-01 
 6.33455E-06 , 9.00000E-01 
 6.33455E-06 ,-3.08149E-33 
 6.40956E-06 , 0.00000E+00 
 6.40956E-06 , 9.00000E-01 
 6.43455E-06 , 9.00000E-01 
 6.43455E-06 , 0.00000E+00 
 6.50956E-06 , 0.00000E+00 
 6.50956E-06 , 9.00000E-01 
 6.53455E-06 , 9.00000E-01 
 6.53455E-06 , 0.00000E+00 
 6.60956E-06 , 0.00000E+00 
 6.60956E-06 , 9.00000E-01 
 6.63455E-06 , 9.00000E-01 
 6.63455E-06 ,-1.54074E-33 
 6.70956E-06 , 0.00000E+00 
 6.70956E-06 , 9.00000E-01 
 6.73455E-06 , 9.00000E-01 
 6.73455E-06 , 2.70478E-13 
 6.80956E-06 , 0.00000E+00 
 6.80956E-06 , 9.00000E-01 
 6.83455E-06 , 9.00000E-01 
 6.83455E-06 ,-1.54074E-33 
 6.90956E-06 , 0.00000E+00 
 6.90956E-06 , 9.00000E-01 
 6.93455E-06 , 9.00000E-01 
 6.93455E-06 , 5.04871E-39 
 7.00956E-06 , 0.00000E+00 
 7.00956E-06 , 9.00000E-01 
 7.03455E-06 , 9.00000E-01 
 7.03455E-06 , 9.11112E-21 
 7.10956E-06 , 0.00000E+00 
 7.10956E-06 , 9.00000E-01 
 7.13455E-06 , 9.00000E-01 
 7.13455E-06 , 6.16298E-33 
 7.20956E-06 , 0.00000E+00 
 7.20956E-06 , 9.00000E-01 
 7.23455E-06 , 9.00000E-01 
 7.23455E-06 ,-5.04871E-39 
 7.30956E-06 , 0.00000E+00 
 7.30956E-06 , 9.00000E-01 
 7.33455E-06 , 9.00000E-01 
 7.33455E-06 ,-6.16298E-33 
 7.40956E-06 , 0.00000E+00 
 7.40956E-06 , 9.00000E-01 
 7.43455E-06 , 9.00000E-01 
 7.43455E-06 , 1.00974E-27 
 7.50956E-06 , 0.00000E+00 
 7.50956E-06 , 9.00000E-01 
 7.53455E-06 , 9.00000E-01 
 7.53455E-06 , 3.08149E-33 
 7.60956E-06 , 0.00000E+00 
 7.60956E-06 , 9.00000E-01 
 7.63455E-06 , 9.00000E-01 
 7.63455E-06 ,-3.94430E-30 
 7.70956E-06 , 0.00000E+00 
 7.70956E-06 , 9.00000E-01 
 7.73455E-06 , 9.00000E-01 
 7.73455E-06 , 1.54074E-33 
 7.80956E-06 , 0.00000E+00 
 7.80956E-06 , 9.00000E-01 
 7.83455E-06 , 9.00000E-01 
 7.83455E-06 , 5.04871E-39 
 7.90956E-06 , 0.00000E+00 
 7.90956E-06 , 9.00000E-01 
 7.93455E-06 , 9.00000E-01 
 7.93455E-06 , 0.00000E+00 
 8.00956E-06 , 0.00000E+00 
 8.00956E-06 , 9.00000E-01 
 8.03455E-06 , 9.00000E-01 
 8.03455E-06 , 1.57772E-30 
 8.10956E-06 , 0.00000E+00 
 8.10956E-06 , 9.00000E-01 
 8.13455E-06 , 9.00000E-01 
 8.13455E-06 ,-9.24446E-33 
 8.20956E-06 , 0.00000E+00 
 8.20956E-06 , 9.00000E-01 
 8.23455E-06 , 9.00000E-01 
 8.23455E-06 , 0.00000E+00 
 8.30956E-06 , 0.00000E+00 
 8.30956E-06 , 9.00000E-01 
 8.33455E-06 , 9.00000E-01 
 8.33455E-06 , 0.00000E+00 
 8.40956E-06 , 0.00000E+00 
 8.40956E-06 , 9.00000E-01 
 8.43455E-06 , 9.00000E-01 
 8.43455E-06 , 1.00974E-38 
 8.50956E-06 , 0.00000E+00 
 8.50956E-06 , 9.00000E-01 
 8.53455E-06 , 9.00000E-01 
 8.53455E-06 ,-2.83519E-20 
 8.60956E-06 , 0.00000E+00 
 8.60956E-06 , 9.00000E-01 
 8.63455E-06 , 9.00000E-01 
 8.63455E-06 , 3.41729E-18 
 8.70956E-06 , 0.00000E+00 
 8.70956E-06 , 9.00000E-01 
 8.73455E-06 , 9.00000E-01 
 8.73455E-06 ,-7.06819E-28 
 8.80956E-06 , 0.00000E+00 
 8.80956E-06 , 9.00000E-01 
 8.83455E-06 , 9.00000E-01 
 8.83455E-06 , 2.46519E-32 
 8.90956E-06 , 0.00000E+00 
 8.90956E-06 , 9.00000E-01 
