t, vcin_pseudo, vcip_pseudo
 0.00000E+00 , 6.00000E-01 , 6.00000E-01 
 3.45567E-08 , 5.45947E-01 , 5.97832E-01 
 5.33564E-08 , 6.57382E-01 , 5.92577E-01 
 7.21108E-08 , 6.30295E-01 , 6.19710E-01 
 1.09611E-07 , 4.77372E-01 , 6.26885E-01 
 1.40855E-07 , 8.44062E-01 , 6.44061E-01 
 1.59599E-07 , 5.80276E-01 , 6.69652E-01 
 1.78350E-07 , 6.22281E-01 , 6.27514E-01 
 2.09613E-07 , 4.79116E-01 , 7.20911E-01 
 2.40851E-07 , 6.67631E-01 , 6.08505E-01 
 2.59610E-07 , 6.29566E-01 , 6.20426E-01 
 2.84599E-07 , 6.24016E-01 , 6.26086E-01 
 3.31803E-07 , 3.66927E-01 , 8.33072E-01 
 3.47100E-07 , 7.00912E-01 , 5.89523E-01 
 3.65851E-07 , 6.28079E-01 , 6.21863E-01 
 3.90850E-07 , 6.25286E-01 , 6.24681E-01 
 4.34554E-07 , 3.24927E-01 , 9.06062E-01 
 4.47558E-07 , 6.34429E-01 , 6.15570E-01 
 4.72103E-07 , 6.34111E-01 , 6.15870E-01 
 5.09613E-07 , 2.90175E-01 , 8.01679E-01 
 5.40852E-07 , 2.89089E-01 , 9.60914E-01 
 5.53353E-07 , 6.49222E-01 , 6.07477E-01 
 5.72106E-07 , 6.20298E-01 , 6.29721E-01 
 6.09613E-07 , 2.34454E-01 , 8.93696E-01 
 6.40852E-07 , 2.55940E-01 , 9.94145E-01 
 6.53354E-07 , 6.07738E-01 , 6.40304E-01 
 6.72104E-07 , 6.24879E-01 , 6.25119E-01 
 7.09614E-07 , 2.02634E-01 , 9.44864E-01 
 7.40852E-07 , 2.35954E-01 , 1.01406E+00 
 7.53354E-07 , 5.89895E-01 , 6.59002E-01 
 7.72102E-07 , 6.42166E-01 , 6.07302E-01 
 8.09611E-07 , 6.25701E-01 , 6.24247E-01 
 8.34554E-07 , 2.22577E-01 , 1.01247E+00 
 8.48098E-07 , 5.30051E-01 , 7.19948E-01 
 8.65853E-07 , 6.19069E-01 , 6.29911E-01 
 8.90852E-07 , 6.25319E-01 , 6.24656E-01 
 9.34553E-07 , 1.76767E-01 , 9.49927E-01 
 9.47102E-07 , 5.40344E-01 , 7.16254E-01 
 9.65849E-07 , 6.41254E-01 , 6.09883E-01 
 9.84599E-07 , 6.24614E-01 , 6.25378E-01 
 1.02313E-06 , 2.32498E-01 , 9.67502E-01 
 1.04710E-06 , 5.65144E-01 , 7.74476E-01 
 1.05961E-06 , 6.35722E-01 , 6.14271E-01 
 1.08460E-06 , 6.24653E-01 , 6.25404E-01 
 1.12411E-06 , 2.66900E-01 , 9.33101E-01 
 1.14710E-06 , 6.00794E-01 , 7.38806E-01 
 1.16585E-06 , 6.30908E-01 , 6.19110E-01 
 1.19085E-06 , 6.25920E-01 , 6.24249E-01 
 1.23455E-06 , 2.81921E-01 , 8.44942E-01 
 1.24710E-06 , 6.43607E-01 , 6.06802E-01 
 1.27210E-06 , 6.06138E-01 , 6.43877E-01 
 1.30961E-06 , 6.25677E-01 , 6.24714E-01 
 1.33459E-06 , 4.00955E-01 , 8.49045E-01 
 1.35335E-06 , 6.46899E-01 , 6.03099E-01 
 1.37213E-06 , 6.19675E-01 , 6.30293E-01 
 1.40961E-06 , 3.90377E-01 , 7.96922E-01 
 1.44085E-06 , 7.17409E-01 , 6.34407E-01 
 1.45960E-06 , 6.43250E-01 , 6.06740E-01 
 1.48460E-06 , 6.22505E-01 , 6.27676E-01 
 1.53249E-06 , 5.11259E-01 , 6.88741E-01 
 1.54710E-06 , 6.40355E-01 , 6.09643E-01 
 1.56586E-06 , 6.25209E-01 , 6.24665E-01 
 1.59085E-06 , 6.24473E-01 , 6.25394E-01 
 1.63455E-06 , 6.07587E-01 , 6.33229E-01 
 1.65335E-06 , 6.56426E-01 , 5.93533E-01 
 1.67210E-06 , 6.31154E-01 , 6.18954E-01 
 1.70958E-06 , 6.73661E-01 , 6.27853E-01 
 1.73456E-06 , 6.87043E-01 , 5.62937E-01 
 1.75335E-06 , 6.38589E-01 , 6.11369E-01 
 1.77212E-06 , 6.30793E-01 , 6.19173E-01 
 1.80959E-06 , 6.25605E-01 , 5.64247E-01 
 1.83461E-06 , 7.59689E-01 , 4.90311E-01 
 1.85337E-06 , 6.09698E-01 , 6.40313E-01 
 1.87835E-06 , 6.23199E-01 , 6.26948E-01 
 1.90963E-06 , 7.86111E-01 , 4.13896E-01 
 1.94710E-06 , 6.27468E-01 , 6.22534E-01 
 1.96585E-06 , 6.32697E-01 , 6.17274E-01 
 1.99085E-06 , 6.26098E-01 , 6.24244E-01 
 2.03455E-06 , 8.26358E-01 , 3.00479E-01 
 2.04710E-06 , 5.88358E-01 , 6.62231E-01 
 2.07210E-06 , 6.20463E-01 , 6.29531E-01 
 2.10961E-06 , 6.25010E-01 , 6.25603E-01 
 2.13455E-06 , 9.38674E-01 , 3.10817E-01 
 2.15335E-06 , 5.94403E-01 , 6.80965E-01 
 2.17210E-06 , 6.20010E-01 , 6.29940E-01 
 2.20961E-06 , 9.10639E-01 , 2.67536E-01 
 2.24085E-06 , 8.80902E-01 , 5.73707E-01 
 2.25335E-06 , 6.27845E-01 , 6.21635E-01 
 2.27212E-06 , 6.22351E-01 , 6.27625E-01 
 2.30961E-06 , 9.61678E-01 , 2.35996E-01 
 2.34085E-06 , 8.71830E-01 , 5.10820E-01 
 2.35338E-06 , 6.55508E-01 , 5.94490E-01 
 2.37210E-06 , 6.24294E-01 , 6.25702E-01 
 2.40961E-06 , 9.73720E-01 , 2.04819E-01 
 2.44085E-06 , 9.16539E-01 , 5.29156E-01 
 2.45336E-06 , 6.68665E-01 , 5.81316E-01 
 2.47210E-06 , 6.21603E-01 , 6.27131E-01 
 2.50961E-06 , 8.82303E-01 , 1.11673E-01 
 2.53483E-06 , 1.01767E+00 , 2.32330E-01 
 2.55335E-06 , 6.68127E-01 , 5.97536E-01 
 2.57210E-06 , 6.09741E-01 , 6.37975E-01 
 2.60958E-06 , 6.24777E-01 , 6.25275E-01 
 2.63455E-06 , 9.99030E-01 , 2.44052E-01 
 2.65335E-06 , 6.94138E-01 , 6.24343E-01 
 2.66585E-06 , 6.14849E-01 , 6.35119E-01 
 2.69085E-06 , 6.25104E-01 , 6.24869E-01 
 2.73455E-06 , 9.32777E-01 , 2.35396E-01 
 2.74712E-06 , 6.73693E-01 , 5.76307E-01 
 2.77210E-06 , 6.33522E-01 , 6.16441E-01 
 2.79085E-06 , 6.24480E-01 , 6.25514E-01 
 2.83455E-06 , 9.29274E-01 , 3.14645E-01 
 2.85335E-06 , 6.23631E-01 , 6.94795E-01 
 2.87210E-06 , 6.27743E-01 , 6.22231E-01 
 2.90961E-06 , 8.09663E-01 , 2.76565E-01 
 2.94085E-06 , 8.13768E-01 , 7.04038E-01 
 2.95336E-06 , 6.29860E-01 , 6.20138E-01 
 2.97835E-06 , 6.27537E-01 , 6.22608E-01 
 3.00963E-06 , 8.09490E-01 , 3.90588E-01 
 3.04087E-06 , 6.18197E-01 , 6.31802E-01 
 3.06585E-06 , 6.25078E-01 , 6.24911E-01 
 3.09085E-06 , 6.24265E-01 , 6.25770E-01 
 3.13455E-06 , 7.48582E-01 , 4.99436E-01 
 3.15335E-06 , 6.02223E-01 , 6.47788E-01 
 3.17835E-06 , 6.20846E-01 , 6.29269E-01 
 3.20961E-06 , 6.96840E-01 , 5.05649E-01 
 3.24086E-06 , 4.76462E-01 , 7.73550E-01 
 3.26585E-06 , 6.28399E-01 , 6.21506E-01 
 3.28487E-06 , 6.25066E-01 , 6.25268E-01 
 3.32588E-06 , 5.82987E-01 , 6.17013E-01 
 3.34710E-06 , 7.02895E-01 , 5.47103E-01 
 3.37206E-06 , 6.14338E-01 , 6.36386E-01 
